Product,Historical_Demand,MC_Mean_Demand,Expected_Sold,Std_Sold,P5_Sold,P95_Sold,Expected_Unmet,Fare,Legs,Tasks,Assigned_Fleets
P000451,0.36,0.6,0.6,0.49,0.0,1.0,0.0,491.0,AA0082BODTFB -> AA0520TFBCVS,AA0082 -> AA0520,F16C0Y165 -> F0C0Y76
P000459,0.1,0.0,0.0,0.0,0.0,0.0,0.0,189.0,AA0082BODTFB -> AA0520TFBCVS,AA0082 -> AA0520,F16C0Y165 -> F0C0Y76
P000463,0.64,0.4,0.4,0.49,0.0,1.0,0.0,235.0,AA0084BODTFB -> AA0524TFBCVS,AA0084 -> AA0524,F16C0Y165 -> F16C0Y165
P000470,0.1,0.0,0.0,0.0,0.0,0.0,0.0,189.0,AA0084BODTFB -> AA0524TFBCVS,AA0084 -> AA0524,F16C0Y165 -> F16C0Y165
P000474,1.16,0.6,0.6,0.49,0.0,1.0,0.0,235.0,AA0096BODTFB -> AA0520TFBCVS,AA0096 -> AA0520,F0C0Y76 -> F0C0Y76
P000482,0.38,0.2,0.2,0.4,0.0,0.8,0.0,258.0,AA0096BODTFB -> AA0520TFBCVS,AA0096 -> AA0520,F0C0Y76 -> F0C0Y76
P000485,0.33,0.6,0.6,0.49,0.0,1.0,0.0,235.0,AA0136BODQEY -> AA3488QEYCVS,AA0136 -> AA3488,F16C0Y165 -> F0C0Y76
P000496,1.12,0.4,0.4,0.49,0.0,1.0,0.0,76.0,AA0066BODDEW,super_AA0066,F12C12Y48
P000498,5.28,4.8,4.8,1.17,4.0,6.6,0.0,118.0,AA0066BODDEW,super_AA0066,F12C12Y48
P000499,1.41,1.2,1.2,0.75,0.2,2.0,0.0,99.0,AA0066BODDEW,super_AA0066,F12C12Y48
P000500,2.35,2.2,2.2,0.75,1.2,3.0,0.0,197.0,AA0066BODDEW,super_AA0066,F12C12Y48
P000501,2.81,1.4,1.4,0.8,1.0,2.6,0.0,13.0,AA0066BODDEW,super_AA0066,F12C12Y48
P000503,0.81,0.4,0.4,0.49,0.0,1.0,0.0,84.0,AA0066BODDEW,super_AA0066,F12C12Y48
