Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
BA2096TFBBMX,0.0,0.0,0.0,0.0
BA2633QEYTNG,12.8,0.0,12.8,12.8
AA0062TJULUO,0.0,0.0,0.0,0.0
BA2441TFBSOP,0.0,0.0,0.0,0.0
BA2593QEYCPJ,7.16,6.4404,0.0,14.4
AA0104BODTFB,0.0,0.0,0.0,0.0
AA0828LPBPBL,34.2,0.0,34.2,34.2
AA0017NJBTFB,31.6,6.9109,21.2,35.6
BA2111QTDTFB,0.0,0.0,0.0,0.0
BA2488TFBCMJ,0.36,0.72,0.0,1.44
BA2580TFBZFH,17.32,8.7595,4.16,23.52
AA0153PNFBOD,0.0,0.0,0.0,0.0
AA0660TFBEGX,27.04,2.32,23.56,28.2
BA2351HFHQEY,12.2,1.4085,11.2,14.36
AA0388QEYTGP,16.4,0.0,16.4,16.4
BA2278SENTFB,0.0,0.0,0.0,0.0
BA2237CPJTFB,16.4,0.0,16.4,16.4
BA2091QEYNGS,11.36,0.5851,10.8,12.2
BA2513QEYCPJ,10.4,5.2581,2.4,14.08
AA0044CFUBOD,0.0,0.0,0.0,0.0
BA2492TFBCMJ,5.12,3.1663,0.64,8.6
AA0097TFBBOD,32.6,9.3629,20.08,42.92
AA0064BODKOV,10.0,9.6722,0.0,21.4
